match_id,match_date,season,matchweek,matchweek_num,referee,home_team,away_team,home_goals,away_goals,goal_difference,home_xg,away_xg,home_non_penalty_xg,away_non_penalty_xg,home_xg_against,away_xg_against,home_post_shot_xg,away_post_shot_xg,home_goals_minus_xg,away_goals_minus_xg,home_post_shot_xg_diff,away_post_shot_xg_diff,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_avg_shot_distance,away_avg_shot_distance,home_shots_on_target_against,away_shots_on_target_against,home_saves,away_saves,home_clean_sheets,away_clean_sheets,home_possession,away_possession,home_free_kicks,away_free_kicks,home_penalties_scored,away_penalties_scored,home_penalties_attempted,away_penalties_attempted,home_passes_completed,away_passes_completed,home_passes_attempted,away_passes_attempted,home_total_distance_progressed,away_total_distance_progressed,home_progressive_distance,away_progressive_distance,home_progressive_carries,away_progressive_carries,home_assists,away_assists,home_expected_assisted_goals,away_expected_assisted_goals,home_expected_assists,away_expected_assists,home_key_passes,away_key_passes,home_shot_creating_actions,away_shot_creating_actions,home_goal_creating_actions,away_goal_creating_actions,home_miscontrols,away_miscontrols,home_dispossessed,away_dispossessed,home_recoveries,away_recoveries,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_interceptions,away_interceptions,home_defensive_actions,away_defensive_actions,home_blocks,away_blocks,home_clearances,away_clearances,result,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result_numeric,shots_difference,shots_on_target_difference,possession_difference,xg_difference,npxg_difference,post_shot_xg_difference,saves_difference,clean_sheets_difference,home_shot_efficiency,away_shot_efficiency,home_shot_accuracy,away_shot_accuracy,b365_prob_home,b365_prob_draw,b365_prob_away,b365_prob_home_norm,b365_prob_draw_norm,b365_prob_away_norm,b365_prob_over25,b365_prob_under25,b365_prob_over25_norm,b365_prob_under25_norm,home_points,away_points,home_cum,away_cum,home_rank_proxy,away_rank_proxy,rank_difference,home_points_last5,home_goals_for_last5,home_goals_against_last5,home_goal_diff_last5,home_wins_last5,home_draws_last5,home_losses_last5,home_form_index,home_avg_shots_last5,home_avg_sot_last5,home_avg_xg_last5,home_avg_poss_last5,away_points_last5,away_goals_for_last5,away_goals_against_last5,away_goal_diff_last5,away_wins_last5,away_draws_last5,away_losses_last5,away_form_index,away_avg_shots_last5,away_avg_sot_last5,away_avg_xg_last5,away_avg_poss_last5
2021-08-21_aston_villa_newcastle_united,2021-08-21,2022,Matchweek 2,2,David Coote,aston villa,newcastle united,2,0,2,1.2,0.7,0.6,0.7,0.7,1.2,0.0,1.5,0.8,-0.7,0.0,-0.5,9.0,9.0,1.0,1.0,19.5,16.1,1.0,2.0,1.0,0.0,1.0,0.0,47,53,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,11.0,14.0,4966.0,5457.0,2017.0,1772.0,7.0,17.0,1.0,0.0,0.5,0.7,0.7,1.0,8.0,9.0,19.0,17.0,3.0,0.0,18.0,8.0,10.0,5.0,253.0,284.0,13.0,14.0,10.0,7.0,4.0,2.0,17.0,16.0,5.0,4.0,23.0,21.0,H,8,18,3,4,3,4,0,0,1,0.0,0.0,-6,0.5,-0.09999999999999998,-1.5,1.0,1.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.26666666666666666,0.23094688221709006,0.5275084060230983,0.25320403489108717,0.21928755908581452,0.5813953488372093,0.47619047619047616,0.549738219895288,0.450261780104712,3,0,3,0,1,14,-13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21_brighton_and_hove_albion_watford,2021-08-21,2022,Matchweek 2,2,Anthony Taylor,brighton and hove albion,watford,2,0,2,1.3,0.5,1.3,0.5,0.5,1.3,0.2,0.7,0.7,-0.5,0.2,-1.3,13.0,10.0,3.0,1.0,16.9,19.3,1.0,3.0,1.0,1.0,1.0,0.0,56,44,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,5.0,8183.0,7182.0,2626.0,2421.0,19.0,16.0,2.0,0.0,0.7,0.6,0.4,0.4,10.0,10.0,23.0,20.0,4.0,0.0,18.0,13.0,12.0,12.0,521.0,386.0,19.0,13.0,11.0,6.0,8.0,10.0,27.0,23.0,9.0,15.0,18.0,26.0,H,11,6,7,2,4,0,0,0,1,3.0,2.0,12,0.8,0.8,-0.49999999999999994,0.0,1.0,0.15384615384615385,0.0,0.23076923076923078,0.1,0.5882352941176471,0.2857142857142857,0.17391304347826086,0.5613668061366807,0.27266387726638774,0.16596931659693168,0.45454545454545453,0.6024096385542169,0.43005181347150256,0.5699481865284974,3,0,3,0,2,15,-13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21_crystal_palace_brentford,2021-08-21,2022,Matchweek 2,2,Martin Atkinson,crystal palace,brentford,0,0,0,0.5,0.9,0.5,0.9,0.9,0.5,0.9,0.4,-0.5,-0.9,0.9,0.4,7.0,14.0,2.0,3.0,15.9,18.0,3.0,2.0,3.0,2.0,1.0,1.0,53,47,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,19.0,21.0,6714.0,4872.0,2409.0,1906.0,15.0,11.0,0.0,0.0,0.5,0.8,0.4,0.6,6.0,11.0,13.0,25.0,0.0,0.0,26.0,21.0,16.0,11.0,358.0,292.0,15.0,24.0,7.0,8.0,13.0,11.0,28.0,35.0,11.0,10.0,18.0,12.0,D,12,9,3,5,3,1,0,0,0,-7.0,-1.0,6,-0.4,-0.4,0.5,1.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.3921568627450981,0.3125,0.3484320557491289,0.3723872275722251,0.29674607197161684,0.3308667004561581,0.4347826086956522,0.6211180124223602,0.411764705882353,0.588235294117647,1,1,1,1,8,9,-1,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21_leeds_united_everton,2021-08-21,2022,Matchweek 2,2,Darren England,leeds united,everton,2,2,0,1.2,1.8,1.2,1.0,1.8,1.2,2.7,1.2,0.8,0.2,0.7,-0.8,17.0,16.0,4.0,7.0,20.9,20.9,8.0,4.0,6.0,2.0,0.0,0.0,69,31,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,26.0,8902.0,3452.0,2906.0,1599.0,26.0,6.0,2.0,1.0,1.1,1.0,0.4,1.0,13.0,15.0,30.0,27.0,4.0,3.0,22.0,18.0,6.0,10.0,543.0,189.0,19.0,16.0,9.0,10.0,9.0,20.0,28.0,36.0,4.0,7.0,6.0,25.0,D,6,13,8,5,2,4,0,0,0,1.0,-3.0,38,-0.6000000000000001,0.19999999999999996,1.5000000000000002,4.0,0.0,0.11764705882352941,0.125,0.23529411764705882,0.4375,0.42194092827004215,0.29411764705882354,0.3333333333333333,0.40208136234626296,0.28027436140018924,0.3176442762535478,0.5813953488372093,0.47619047619047616,0.549738219895288,0.450261780104712,1,1,1,1,10,11,-1,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21_liverpool_burnley,2021-08-21,2022,Matchweek 2,2,Mike Dean,liverpool,burnley,2,0,2,2.7,0.9,2.7,0.9,0.9,2.7,0.6,1.5,-0.7,-0.9,0.6,-0.5,27.0,9.0,8.0,3.0,16.1,15.3,3.0,8.0,3.0,6.0,1.0,0.0,65,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,9.0,31.0,7505.0,4352.0,2782.0,2014.0,26.0,11.0,2.0,0.0,2.7,0.9,1.9,0.5,23.0,8.0,49.0,15.0,4.0,0.0,12.0,16.0,10.0,9.0,468.0,201.0,14.0,18.0,8.0,9.0,5.0,11.0,19.0,29.0,9.0,7.0,24.0,23.0,H,6,12,8,4,0,0,0,0,1,18.0,5.0,30,1.8000000000000003,1.8000000000000003,-0.9,-3.0,1.0,0.07407407407407407,0.0,0.2962962962962963,0.3333333333333333,0.8474576271186441,0.13333333333333333,0.07692307692307693,0.8012162051113485,0.12605801627085214,0.07272577861779932,0.6535947712418301,0.4,0.6203473945409429,0.3796526054590571,3,0,3,0,3,16,-13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21_manchester_city_norwich_city,2021-08-21,2022,Matchweek 2,2,Graham Scott,manchester city,norwich city,5,0,5,2.6,0.1,2.6,0.1,0.1,2.6,0.0,2.7,1.4,-0.1,0.0,-1.3,16.0,1.0,4.0,0.0,18.5,16.8,0.0,4.0,0.0,0.0,1.0,0.0,67,33,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,13.0,11832.0,5294.0,3037.0,1692.0,30.0,6.0,3.0,0.0,2.3,0.0,1.9,0.1,11.0,0.0,28.0,0.0,7.0,0.0,13.0,6.0,12.0,7.0,706.0,325.0,14.0,18.0,8.0,11.0,6.0,8.0,20.0,26.0,7.0,3.0,3.0,26.0,H,13,7,6,1,1,0,0,0,1,15.0,4.0,34,2.5,2.5,-2.7,0.0,1.0,0.3125,0.0,0.25,0.0,0.9259259259259258,0.09090909090909091,0.038461538461538464,0.8774082709534912,0.08614553932997915,0.03644618971652964,0.7518796992481203,0.29411764705882354,0.7188160676532769,0.28118393234672306,3,0,3,0,4,17,-13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22_arsenal_chelsea,2021-08-22,2022,Matchweek 2,2,Paul Tierney,arsenal,chelsea,0,2,-2,0.3,3.1,0.3,3.1,3.1,0.3,2.5,0.2,-0.3,-1.1,0.5,0.2,6.0,22.0,3.0,5.0,18.7,16.0,5.0,3.0,3.0,3.0,0.0,1.0,35,65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,6.0,4514.0,9081.0,1603.0,3044.0,13.0,22.0,0.0,2.0,0.3,3.0,0.6,2.4,6.0,18.0,12.0,42.0,0.0,4.0,16.0,11.0,7.0,11.0,284.0,603.0,20.0,11.0,17.0,5.0,6.0,10.0,26.0,21.0,8.0,10.0,12.0,26.0,A,10,4,9,8,3,0,0,0,-1,-16.0,-2.0,-30,-2.8000000000000003,-2.8000000000000003,2.3,0.0,-1.0,0.0,0.09090909090909091,0.5,0.22727272727272727,0.21052631578947367,0.26666666666666666,0.5813953488372093,0.19887458567794647,0.2519078085253989,0.5492176057966546,0.47619047619047616,0.5813953488372093,0.450261780104712,0.549738219895288,0,3,0,3,18,5,13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22_southampton_manchester_united,2021-08-22,2022,Matchweek 2,2,Craig Pawson,southampton,manchester united,1,1,0,0.7,1.8,0.7,1.8,1.8,0.7,0.4,0.6,-0.7,-0.8,-0.6,0.6,8.0,15.0,3.0,3.0,21.5,15.1,3.0,3.0,2.0,3.0,0.0,0.0,37,63,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,1.0,3753.0,6808.0,1377.0,2275.0,15.0,15.0,0.0,1.0,0.6,1.5,0.4,1.4,5.0,11.0,13.0,28.0,0.0,2.0,18.0,12.0,9.0,19.0,215.0,437.0,23.0,19.0,13.0,10.0,20.0,6.0,43.0,25.0,7.0,9.0,21.0,12.0,D,12,10,7,7,2,3,0,0,0,-7.0,0.0,-26,-1.1,-1.1,-0.19999999999999996,-1.0,0.0,0.125,0.06666666666666667,0.375,0.2,0.18181818181818182,0.23809523809523808,0.6369426751592356,0.1720368389470114,0.22528633671632445,0.6026768243366641,0.5813953488372093,0.47619047619047616,0.549738219895288,0.450261780104712,1,1,1,1,12,13,-1,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22_wolverhampton_wanderers_tottenham_hotspur,2021-08-22,2022,Matchweek 2,2,Stuart Attwell,wolverhampton wanderers,tottenham hotspur,0,1,-1,1.7,1.7,1.7,0.9,1.7,1.7,1.6,1.4,-1.7,-0.7,0.6,1.4,25.0,7.0,6.0,5.0,20.3,14.6,6.0,6.0,5.0,6.0,0.0,1.0,58,42,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,4.0,14.0,8719.0,4596.0,2756.0,2003.0,38.0,13.0,0.0,0.0,1.8,0.8,1.3,0.8,23.0,5.0,46.0,12.0,0.0,2.0,16.0,19.0,14.0,16.0,429.0,300.0,29.0,18.0,18.0,6.0,14.0,8.0,43.0,26.0,11.0,6.0,7.0,33.0,A,9,7,5,4,1,4,0,0,-1,18.0,1.0,16,0.0,0.7999999999999999,0.20000000000000018,-1.0,-1.0,0.0,0.14285714285714285,0.24,0.7142857142857143,0.3125,0.3125,0.425531914893617,0.2974683544303798,0.2974683544303798,0.40506329113924056,0.45454545454545453,0.6024096385542169,0.43005181347150256,0.5699481865284974,0,3,0,3,19,6,13,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23_west_ham_united_leicester_city,2021-08-23,2022,Matchweek 2,2,Michael Oliver,west ham united,leicester city,4,1,3,2.3,0.6,2.3,0.6,0.6,2.3,0.5,3.0,1.7,0.4,-0.5,-1.0,19.0,5.0,7.0,1.0,13.9,14.3,1.0,7.0,0.0,3.0,0.0,0.0,52,48,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,9.0,8733.0,6955.0,2967.0,2117.0,16.0,13.0,4.0,0.0,2.2,0.2,1.7,0.2,16.0,3.0,35.0,9.0,7.0,1.0,10.0,8.0,11.0,8.0,464.0,437.0,15.0,13.0,11.0,7.0,5.0,14.0,20.0,27.0,8.0,5.0,7.0,27.0,H,8,8,10,0,0,1,0,1,1,14.0,6.0,4,1.6999999999999997,1.6999999999999997,-2.5,-3.0,0.0,0.21052631578947367,0.2,0.3684210526315789,0.2,0.4,0.2857142857142857,0.36363636363636365,0.38118811881188125,0.2722772277227723,0.34653465346534656,0.5555555555555556,0.5,0.5263157894736842,0.47368421052631576,3,0,3,0,7,20,-13,,,,,,,,,,,,,,,,,,,,,,,,
